GO term,Description,P-value,FDR q-value,"Enrichment (N, B, n, b)",Genes,Ontology,Direction
GO:0044445,cytosolic part,0.00000024,0.0000115,"1.64 (2093,119,825,77)",[+] Show genes,Component,Up
GO:0005686,U2 snRNP,0.000000373,0.0000171,"7.17 (2093,19,169,11)",[+] Show genes,Component,Up
GO:0044422,organelle part,0.000000836,0.0000367,"1.19 (2093,1577,207,186)",[+] Show genes,Component,Up
GO:0022625,cytosolic large ribosomal subunit,0.00000352,0.000148,"3.67 (2093,55,197,19)",[+] Show genes,Component,Up
GO:0071012,catalytic step 1 spliceosome,0.00000846,0.000343,"9.79 (2093,11,136,7)",[+] Show genes,Component,Up
GO:0071006,U2-type catalytic step 1 spliceosome,0.00000846,0.00033,"9.79 (2093,11,136,7)",[+] Show genes,Component,Up
GO:0005689,U12-type spliceosomal complex,0.00000855,0.000322,"3.28 (2093,27,402,17)",[+] Show genes,Component,Up
GO:0071014,post-mRNA release spliceosomal complex,0.0000229,0.000833,"18.30 (2093,11,52,5)",[+] Show genes,Component,Up
GO:0005732,small nucleolar ribonucleoprotein complex,0.000145,0.0051,"3.15 (2093,23,404,14)",[+] Show genes,Component,Up
GO:0032040,small-subunit processome,0.000395,0.0134,"1.72 (2093,36,980,29)",[+] Show genes,Component,Up
GO:0005846,nuclear cap binding complex,0.000544,0.0179,"59.80 (2093,2,35,2)",[+] Show genes,Component,Up
GO:0005682,U5 snRNP,0.000593,0.0189,"10.72 (2093,16,61,5)",[+] Show genes,Component,Up
GO:0044424,intracellular part,0.000967,0.03,"1.05 (2093,1982,207,206)",[+] Show genes,Component,Up
