GO term,Description,P-value,FDR q-value,"Enrichment (N, B, n, b)",Genes,Ontology,Direction
GO:0071826,ribonucleoprotein complex subunit organization,0.000286,0.0655,"1.59 (2093,209,422,67)",[+] Show genes,Process,Up
GO:0022607,cellular component assembly,0.000297,0.066,"1.54 (2093,373,262,72)",[+] Show genes,Process,Up
GO:0006607,NLS-bearing protein import into nucleus,0.000396,0.0852,"95.14 (2093,4,11,2)",[+] Show genes,Process,Up
GO:0015931,nucleobase-containing compound transport,0.000401,0.0838,"1.37 (2093,133,986,86)",[+] Show genes,Process,Up
GO:0051236,establishment of RNA localization,0.000548,0.112,"1.37 (2093,132,986,85)",[+] Show genes,Process,Up
GO:0050658,RNA transport,0.000548,0.109,"1.37 (2093,132,986,85)",[+] Show genes,Process,Up
GO:0050657,nucleic acid transport,0.000548,0.106,"1.37 (2093,132,986,85)",[+] Show genes,Process,Up
GO:0007338,single fertilization,0.000561,0.105,"2.80 (2093,9,748,9)",[+] Show genes,Process,Up
GO:0006409,tRNA export from nucleus,0.000602,0.11,"31.39 (2093,10,20,3)",[+] Show genes,Process,Up
GO:0006611,protein export from nucleus,0.000718,0.128,"33.22 (2093,21,9,3)",[+] Show genes,Process,Up
GO:0051031,tRNA transport,0.000857,0.149,"28.54 (2093,11,20,3)",[+] Show genes,Process,Up
GO:0005684,U2-type spliceosomal complex,2.63E-14,2.78E-11,"5.04 (2093,82,162,32)",[+] Show genes,Component,Up
GO:0071005,U2-type precatalytic spliceosome,2.71E-14,1.43E-11,"5.31 (2093,47,235,28)",[+] Show genes,Component,Up
GO:0071011,precatalytic spliceosome,3.41E-14,1.2E-11,"5.20 (2093,48,235,28)",[+] Show genes,Component,Up
GO:0005686,U2 snRNP,2.09E-12,5.51E-10,"51.84 (2093,19,17,8)",[+] Show genes,Component,Up
GO:0097525,spliceosomal snRNP complex,7.06E-12,0.00000000149,"4.45 (2093,56,235,28)",[+] Show genes,Component,Up
GO:0030532,small nuclear ribonucleoprotein complex,1.38E-11,0.00000000242,"4.23 (2093,61,235,29)",[+] Show genes,Component,Up
GO:0120114,Sm-like protein family complex,5.83E-11,0.00000000877,"3.83 (2093,72,235,31)",[+] Show genes,Component,Up
GO:1902494,catalytic complex,8.95E-10,0.000000118,"1.79 (2093,274,414,97)",[+] Show genes,Component,Up
GO:0005681,spliceosomal complex,0.00000000806,0.000000944,"8.74 (2093,169,17,12)",[+] Show genes,Component,Up
GO:0071013,catalytic step 2 spliceosome,0.00000000881,0.000000928,"2.29 (2093,80,526,46)",[+] Show genes,Component,Up
GO:0097526,spliceosomal tri-snRNP complex,0.000000217,0.0000208,"4.75 (2093,30,235,16)",[+] Show genes,Component,Up
GO:0046540,U4/U6 x U5 tri-snRNP complex,0.000000217,0.0000191,"4.75 (2093,30,235,16)",[+] Show genes,Component,Up
GO:0016607,nuclear speck,0.000000359,0.0000291,"3.78 (2093,182,67,22)",[+] Show genes,Component,Up
GO:0016604,nuclear body,0.0000015,0.000113,"2.78 (2093,281,75,28)",[+] Show genes,Component,Up
GO:0043657,host cell,0.00000491,0.000345,"26.70 (2093,14,28,5)",[+] Show genes,Component,Up
GO:0044216,other organism cell,0.00000491,0.000324,"26.70 (2093,14,28,5)",[+] Show genes,Component,Up
GO:0044217,other organism part,0.00000491,0.000305,"26.70 (2093,14,28,5)",[+] Show genes,Component,Up
GO:0071007,U2-type catalytic step 2 spliceosome,0.00000578,0.000339,"4.34 (2093,27,250,14)",[+] Show genes,Component,Up
GO:0005654,nucleoplasm,0.0000062,0.000344,"1.89 (2093,917,41,34)",[+] Show genes,Component,Up
GO:0044451,nucleoplasm part,0.0000157,0.000826,"2.47 (2093,354,67,28)",[+] Show genes,Component,Up
GO:0005689,U12-type spliceosomal complex,0.0000179,0.000898,"22.80 (2093,27,17,5)",[+] Show genes,Component,Up
GO:0032991,protein-containing complex,0.0000281,0.00134,"1.24 (2093,1221,242,175)",[+] Show genes,Component,Up
GO:0044428,nuclear part,0.0000662,0.00303,"1.23 (2093,1162,279,190)",[+] Show genes,Component,Up
GO:0005635,nuclear envelope,0.000201,0.00882,"14.53 (2093,36,20,5)",[+] Show genes,Component,Up
GO:0031975,envelope,0.000231,0.00973,"14.14 (2093,37,20,5)",[+] Show genes,Component,Up
GO:0031967,organelle envelope,0.000231,0.00936,"14.14 (2093,37,20,5)",[+] Show genes,Component,Up
GO:0005634,nucleus,0.000253,0.00986,"1.67 (2093,996,44,35)",[+] Show genes,Component,Up
GO:0005690,U4atac snRNP,0.000397,0.015,"69.77 (2093,2,30,2)",[+] Show genes,Component,Up
GO:0043227,membrane-bounded organelle,0.000425,0.0154,"1.33 (2093,1439,60,55)",[+] Show genes,Component,Up
GO:1990234,transferase complex,0.000474,0.0166,"1.67 (2093,95,621,47)",[+] Show genes,Component,Up
GO:0061695,"transferase complex, transferring phosphorus-containing groups",0.000651,0.0221,"2.30 (2093,32,541,19)",[+] Show genes,Component,Up
GO:0005642,annulate lamellae,0.000695,0.0229,"18.47 (2093,4,85,3)",[+] Show genes,Component,Up
GO:0005643,nuclear pore,0.000733,0.0234,"16.74 (2093,25,20,4)",[+] Show genes,Component,Up
