go_term,description,fdr_q_value,ontology,direction,enrichment
GO:0044238,primary metabolic process,3.89e-4,Process,Up,1.21
GO:1901576,organic substance biosynthetic process,6.17e-4,Process,Up,2.03
GO:0014003,oligodendrocyte development,7e-4,Process,Up,99.67
GO:0009058,biosynthetic process,9.12e-4,Process,Up,2.00
GO:0048608,reproductive structure development,9.04e-4,Process,Up,24.92
GO:0060255,regulation of macromolecule metabolic process,0.00136,Process,Up,1.49
GO:0006807,nitrogen compound metabolic process,0.00166,Process,Up,1.20
GO:0009408,response to heat,0.00168,Process,Up,38.76
GO:0000469,cleavage involved in rRNA processing,0.00217,Process,Up,2.10
GO:0010243,response to organonitrogen compound,0.00215,Process,Up,10.64
GO:0000027,ribosomal large subunit assembly,0.00242,Process,Up,3.86
GO:0001541,ovarian follicle development,0.00263,Process,Up,64.07
GO:0009266,response to temperature stimulus,0.00371,Process,Up,32.08
GO:0050851,antigen receptor-mediated signaling pathway,0.00368,Process,Up,4.95
GO:0050852,T cell receptor signaling pathway,0.00364,Process,Up,4.95
GO:0043170,macromolecule metabolic process,0.00388,Process,Up,1.20
GO:0019222,regulation of metabolic process,0.005,Process,Up,1.45
GO:0021782,glial cell development,0.00637,Process,Up,58.14
GO:1901698,response to nitrogen compound,0.00658,Process,Up,8.98
GO:1901700,response to oxygen-containing compound,0.00867,Process,Up,4.90
GO:0034198,cellular response to amino acid starvation,0.0102,Process,Up,199.33
GO:0036499,PERK-mediated unfolded protein response,0.014,Process,Up,107.33
GO:0071287,cellular response to manganese ion,0.0138,Process,Up,107.33
GO:0010042,response to manganese ion,0.0137,Process,Up,107.33
GO:0042274,ribosomal small subunit biogenesis,0.0138,Process,Up,4.82
GO:0009749,response to glucose,0.0141,Process,Up,46.51
GO:0051438,regulation of ubiquitin-protein transferase activity,0.0164,Process,Up,3.05
GO:0008366,axon ensheathment,0.0164,Process,Up,116.28
GO:0042552,myelination,0.0163,Process,Up,116.28
GO:0007272,ensheathment of neurons,0.0162,Process,Up,116.28
GO:1903050,regulation of proteolysis involved in cellular protein catabolic process,0.0166,Process,Up,2.21
GO:0009719,response to endogenous stimulus,0.0168,Process,Up,7.63
GO:0009746,response to hexose,0.0168,Process,Up,43.60
GO:0071704,organic substance metabolic process,0.0194,Process,Up,1.16
GO:1990928,response to amino acid starvation,0.0196,Process,Up,155.04
GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.0237,Process,Up,4.23
GO:0000478,endonucleolytic cleavage involved in rRNA processing,0.0235,Process,Up,4.23
GO:0034284,response to monosaccharide,0.0251,Process,Up,38.76
GO:0000470,maturation of LSU-rRNA,0.0259,Process,Up,2.44
GO:0071236,cellular response to antibiotic,0.0265,Process,Up,18.00
GO:0006384,transcription initiation from RNA polymerase III promoter,0.0273,Process,Up,093.00
GO:0055085,transmembrane transport,0.03,Process,Up,12.03
GO:0042254,ribosome biogenesis,0.0319,Process,Up,2.40
GO:1902626,assembly of large subunit precursor of preribosome,0.0318,Process,Up,14.74
GO:0002429,immune response-activating cell surface receptor signaling pathway,0.0322,Process,Up,3.96
GO:0001188,RNA polymerase I preinitiation complex assembly,0.0393,Process,Up,7.84
GO:0043434,response to peptide hormone,0.0398,Process,Up,17.09
GO:0070897,transcription preinitiation complex assembly,0.0401,Process,Up,6.53
GO:0002768,immune response-regulating cell surface receptor signaling pathway,0.0408,Process,Up,3.85
GO:1903051,negative regulation of proteolysis involved in cellular protein catabolic process,0.0422,Process,Up,2.77
GO:2000059,negative regulation of ubiquitin-dependent protein catabolic process,0.0419,Process,Up,2.77
GO:0034475,U4 snRNA 3'-end processing,0.0431,Process,Up,5.45
GO:0009743,response to carbohydrate,0.0432,Process,Up,31.71
GO:0000966,RNA 5'-end processing,0.048,Process,Up,2.49
GO:0006425,glutaminyl-tRNA aminoacylation,0.0493,Process,Up,046.50
GO:0044445,cytosolic part,1.12e-24,Component,Up,4.23
GO:0022625,cytosolic large ribosomal subunit,9.79e-16,Component,Up,5.07
GO:0005730,nucleolus,8.71e-15,Component,Up,1.68
GO:0044391,ribosomal subunit,7.64e-14,Component,Up,2.91
GO:0030684,preribosome,3.86e-10,Component,Up,2.36
GO:0022627,cytosolic small ribosomal subunit,1.03e-8,Component,Up,4.64
GO:0015934,large ribosomal subunit,6.66e-8,Component,Up,5.07
GO:0032991,protein-containing complex,1.19e-7,Component,Up,1.34
GO:1990904,ribonucleoprotein complex,2.26e-7,Component,Up,1.56
GO:0032040,small-subunit processome,3.43e-7,Component,Up,2.76
GO:0005925,focal adhesion,3.57e-7,Component,Up,4.23
GO:0005924,cell-substrate adherens junction,4.06e-7,Component,Up,4.19
GO:0030055,cell-substrate junction,4.47e-7,Component,Up,4.16
GO:0005851,eukaryotic translation initiation factor 2B complex,4.19e-7,Component,Up,155.04
GO:0005829,cytosol,9.38e-7,Component,Up,1.69
GO:0005912,adherens junction,3.45e-6,Component,Up,3.75
GO:0070161,anchoring junction,4.61e-6,Component,Up,3.70
GO:0043232,intracellular non-membrane-bounded organelle,5.4e-6,Component,Up,1.48
GO:0043228,non-membrane-bounded organelle,5.13e-6,Component,Up,1.35
GO:0015935,small ribosomal subunit,7.97e-6,Component,Up,3.44
GO:0005840,ribosome,9.38e-6,Component,Up,3.50
GO:0042788,polysomal ribosome,7.67e-5,Component,Up,5.59
GO:0005850,eukaryotic translation initiation factor 2 complex,9.5e-5,Component,Up,104.65
GO:0030054,cell junction,2.03e-4,Component,Up,3.03
GO:0014069,postsynaptic density,0.00335,Component,Up,4.15
GO:0099572,postsynaptic specialization,0.00322,Component,Up,4.15
GO:0016020,membrane,0.00333,Component,Up,1.43
GO:0070062,extracellular exosome,0.00487,Component,Up,2.03
GO:1903561,extracellular vesicle,0.00501,Component,Up,2.02
GO:0043230,extracellular organelle,0.00485,Component,Up,2.02
GO:0044444,cytoplasmic part,0.0209,Component,Up,1.20
GO:0044452,nucleolar part,0.0268,Component,Up,1.70
GO:0030687,"preribosome, large subunit precursor",0.0278,Component,Up,2.42
