sample_name,treatment,control,rep,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,annotation
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,NOC2L,4,0.98646,0.98652,NA,2099,0,2.3472e-4,9.8512e-4,0.010373,26,3,0.49922,9.8512e-4,0.010373,3,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,GNL3L,4,0.99976,0.99978,NA,2168,0,2.3734e-4,9.8965e-4,0.010373,27,4,0.47155,9.8965e-4,0.010373,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPLP1,4,0.60778,0.64025,NA,1265,1,2.7083e-4,0.0011346,NA,28,2,0.50632,0.0011346,1,2,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,NIP7,4,0.99971,0.99973,NA,2167,0,2.8757e-4,0.0011799,0.011925,29,4,0.52983,0.0011799,0.011925,4,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL35,4,0.99641,0.99651,NA,2134,0,3.4168e-4,0.001361,0.013282,30,4,0.56357,0.001361,0.013282,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,PAN3,4,0.9317,0.93157,NA,1960,0,3.9493e-4,0.0015875,0.014976,31,3,0.75575,0.0015875,0.014976,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,MAK16,4,0.96659,0.96692,NA,2055,0,4.1784e-4,0.0016781,0.015319,32,3,0.65969,0.0016781,0.015319,3,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,TUBGCP3,4,0.95884,0.95903,NA,2030,0,4.5983e-4,0.0018321,0.015712,33,3,0.48254,0.0018321,0.015712,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RRP1,3,0.99664,0.99686,NA,2135,0,5.2808e-4,0.0017324,0.015321,34,3,0.39078,0.0017324,0.015321,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,NXF1,4,0.99279,0.99283,NA,2113,0,5.289e-4,0.0020767,0.017285,35,4,0.65008,0.0020767,0.017285,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,PSMD6,4,0.99945,0.99946,NA,2166,0,5.5125e-4,0.0021491,0.017304,36,4,0.60503,0.0021491,0.017304,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,TBCA,4,0.92548,0.92529,NA,1944,0,5.6879e-4,0.0022216,0.017304,37,3,0.94214,0.0022216,0.017304,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,LSG1,4,0.99942,0.99944,NA,2165,0,5.8229e-4,0.0022624,0.017304,38,4,0.44621,0.0022624,0.017304,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL23,4,0.95807,0.95826,NA,2029,0,7.2726e-4,0.002747,0.019966,39,3,0.43817,0.002747,0.019966,3,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,BRIX1,4,0.94545,0.94552,NA,1992,0,7.3028e-4,0.0027515,0.019966,40,3,0.52423,0.0027515,0.019966,3,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL38,4,0.99901,0.99916,NA,2160,0,7.615e-4,0.0028874,0.020274,41,4,0.55781,0.0028874,0.020274,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL6,4,0.99793,0.99801,NA,2145,0,7.7515e-4,0.0029372,0.020274,42,4,0.67498,0.0029372,0.020274,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL28,4,0.9992,0.99929,NA,2164,0,8.0361e-4,0.0030505,0.020554,43,4,0.46307,0.0030505,0.020554,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,DDX51,4,0.99916,0.99926,NA,2162,0,8.4471e-4,0.0032543,0.021418,44,4,0.68198,0.0032543,0.021418,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,EEF2,4,0.99909,0.99924,NA,2161,0,9.0683e-4,0.0035079,0.022562,45,4,0.39039,0.0035079,0.022562,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,MYBBP1A,4,0.99882,0.999,NA,2155,0,9.6735e-4,0.0037797,0.02377,46,4,0.59088,0.0037797,0.02377,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,CCT3,4,0.99895,0.9991,NA,2159,0,0.0010522,0.0040696,0.024498,47,4,0.50551,0.0040696,0.024498,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL10A,4,0.99892,0.99908,NA,2158,0,0.0010771,0.0041375,0.024498,48,4,0.4537,0.0041375,0.024498,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,FTSJ1,4,0.99892,0.99907,NA,2157,0,0.0010827,0.0041783,0.024498,49,4,0.39857,0.0041783,0.024498,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,SLC16A3,4,0.9989,0.99906,NA,2156,0,0.0010996,0.0042417,0.024498,50,4,0.36359,0.0042417,0.024498,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,S100A9,4,0.39713,0.52343,NA,1009,1,0.0011732,0.0044862,NA,51,2,0.075242,0.0044862,1,2,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RBM28,4,0.99872,0.99888,NA,2154,0,0.0012767,0.0048803,0.027622,52,4,0.60212,0.0048803,0.027622,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RSL24D1,4,0.99507,0.9953,NA,2122,0,0.001307,0.004989,0.027684,53,4,0.44112,0.004989,0.027684,4,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,PSMD11,4,0.99599,0.9961,NA,2130,0,0.0014332,0.0053876,0.028686,54,4,0.61193,0.0053876,0.028686,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,CDC5L,4,0.99856,0.99864,NA,2153,0,0.0014428,0.0054238,0.028686,55,4,0.99134,0.0054238,0.028686,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,CWC22,4,0.99854,0.99859,NA,2152,0,0.0014637,0.0054736,0.028686,56,4,0.60193,0.0054736,0.028686,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,PRPF18,4,0.9985,0.99855,NA,2151,0,0.0014956,0.0055823,0.028724,57,4,0.51573,0.0055823,0.028724,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,NMD3,4,0.99814,0.9982,NA,2147,0,0.0015514,0.0057907,0.029264,58,4,0.49796,0.0057907,0.029264,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,XAB2,4,0.93617,0.93628,NA,1969,0,0.0016422,0.0061621,NA,59,1,0.074232,0.0061621,1,1,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,FTSJ3,4,0.99827,0.99832,NA,2150,0,0.0017336,0.0064293,0.030603000000000002,60,4,0.51348,0.0064293,0.030603000000000002,4,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,SURF6,4,0.99638,0.99647,NA,2132,0,0.0017397,0.006461,0.030603000000000002,61,4,0.42181,0.006461,0.030603000000000002,4,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL9,4,0.99826,0.99831,NA,2149,0,0.0017416,0.0064655,0.030603000000000002,62,4,0.40488,0.0064655,0.030603000000000002,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RCC1L,4,0.99825,0.99829,NA,2148,0,0.0017536,0.0064882,0.030603000000000002,63,4,0.48118,0.0064882,0.030603000000000002,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,SSRP1,4,0.84516,0.84458,NA,1743,0,0.0018587,0.0068686,0.031133,64,3,0.61797,0.0068686,0.031133,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,OSGEPL1,4,0.54082,0.5991,NA,1173,1,0.0018668,0.0069049,0.031133,65,3,0.85497,0.0069049,0.031133,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,MRPL24,4,0.0044526,0.015637,NA,94,1,0.0018767,0.0069502,0.031133,66,3,0.56198,0.0069502,0.031133,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,GTPBP4,4,0.93771,0.93777,NA,1975,0,0.0019078,0.0070408,0.031133,67,3,0.38797,0.0070408,0.031133,3,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPLP2,4,0.99788,0.99797,NA,2144,0,0.0021214,0.0077201,0.032469,68,4,0.40436,0.0077201,0.032469,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,PLRG1,4,0.99786,0.99796,NA,2143,0,0.00214,0.00777,0.032469,69,4,0.28281,0.00777,0.032469,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL4,4,0.99565,0.99582,NA,2129,0,0.0021478,0.0078017,0.032469,70,4,0.47161,0.0078017,0.032469,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL5,4,0.75315,0.75319,NA,1531,1,0.0022321,0.0081867,0.033245,71,3,0.51096,0.0081867,0.033245,3,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL19,4,0.99639,0.99648,NA,2133,0,0.0022748,0.0083316,0.033245,72,4,0.49685,0.0083316,0.033245,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,METTL25B,4,0.99753,0.99759,NA,2142,0,0.0024654,0.0089476,0.035169,73,4,0.30943,0.0089476,0.035169,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL36,4,0.99745,0.99749,NA,2141,0,0.0025495,0.009242,0.035829,74,4,0.47273,0.009242,0.035829,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,NCL,3,0.99744,0.99762,NA,2140,0,0.0025599,0.0074484,0.032429,75,3,0.45024,0.0074484,0.032429,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,MRPS21,3,0.77468,0.77569,NA,1580,0,0.0026235,0.0075526,NA,76,2,1.0071,0.0075526,1,2,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,CRNKL1,4,0.99736,0.99741,NA,2139,0,0.0026413,0.0095454,0.036505,77,4,0.47341,0.0095454,0.036505,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL13,4,0.99509,0.99531,NA,2123,0,0.0026851,0.009704,0.036616,78,4,0.45747,0.009704,0.036616,4,1 60S ribosome
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,C15ORF52,4,0.72931,0.73127,NA,1477,1,0.0027623,0.0099848,NA,79,2,0.62101,0.0099848,1,2,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,KPNB1,3,0.99707,0.9973,NA,2137,0,0.0029324,0.0083407,0.033245,80,3,0.80011,0.0083407,0.033245,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,NOP16,4,0.99694,0.99707,NA,2136,0,0.0030577,0.011054,0.040676,81,4,0.43615,0.011054,0.040676,4,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,TCP1,4,0.5717,0.6174,NA,1215,1,0.0030633,0.011067,0.040676,82,3,0.82292,0.011067,0.040676,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPF2,4,0.99003,0.99012,NA,2109,0,0.0033149,0.011892,0.043145,83,4,0.39874,0.011892,0.043145,4,3 60S biogenesis
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,IPO13,4,0.8413,0.84061,NA,1732,0,0.003543,0.012684,0.045438,84,3,0.64449,0.012684,0.045438,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,EIF2B5,4,0.98821,0.98821,NA,2104,0,0.0036095,0.012902,0.04564,85,3,0.4976,0.012902,0.04564,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,PSMD4,4,0.99623,0.99633,NA,2131,0,0.0037723,0.013441,0.046959,86,4,0.29325,0.013441,0.046959,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,MYEF2,4,0.34407,0.48244,NA,933,1,0.0039846,0.014043,NA,87,2,0.34888,0.014043,1,2,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,SFPQ,4,0.80981,0.80857,NA,1674,0,0.0040325,0.014215,0.04906,88,3,0.73178,0.014215,0.04906,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,UBA52,4,0.67205,0.68502,NA,1349,1,0.0041629,0.014682,0.050059,89,3,0.55057,0.014682,0.050059,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,ENO1,4,0.2347,0.36007,NA,716,2,0.0044526,0.015637,NA,90,2,-0.24381,0.36007,1,2,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,PSIP1,4,0.84505,0.84449,NA,1742,0,0.0044619,0.015655,0.051517,91,3,0.78175,0.015655,0.051517,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RAVER1,4,0.99543,0.99559,NA,2128,0,0.0045722,0.016018,0.051549,92,4,0.40202,0.016018,0.051549,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPF1,4,0.99463,0.99479,NA,2120,0,0.0046028,0.016154,0.051549,93,4,0.47893,0.016154,0.051549,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,CTIF,4,0.99537,0.99554,NA,2127,0,0.0046303,0.016249,0.051549,94,4,0.26674,0.016249,0.051549,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL23A,4,0.99533,0.99549,NA,2126,0,0.0046721,0.016394,0.051549,95,4,0.39369,0.016394,0.051549,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,SNRNP70,4,0.61678,0.64624,NA,1281,1,0.0047541,0.016607,NA,96,2,0.4216,0.016607,1,2,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RBM10,4,0.51543,0.58481,NA,1146,1,0.0047988,0.016765,0.051926,97,3,0.46197,0.016765,0.051926,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,LSM8,4,0.99513,0.99534,NA,2125,0,0.0048681,0.016969,0.051926,98,4,0.53101,0.016969,0.051926,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,NIFK,4,0.99511,0.99532,NA,2124,0,0.0048941,0.017064,0.051926,99,4,0.37038,0.017064,0.051926,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,ERN1,4,0.16004,0.27622,NA,555,1,0.0049205,0.017155,NA,100,1,0.10551,0.017155,1,1,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,SAMSN1,4,0.995,0.9952,NA,2121,0,0.0049992,0.017485,0.052642,101,4,0.3486,0.017485,0.052642,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,SNU13,3,0.97907,0.97954,NA,2084,0,0.0055968,0.015587,0.051517,102,3,0.92643,0.015587,0.051517,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,HELZ,3,0.99438,0.99458,NA,2119,0,0.0056168,0.015624,0.051517,103,3,0.49942,0.015624,0.051517,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,RPL18A,4,0.99421,0.99432,NA,2117,0,0.0057927,0.019927,0.05936,104,4,0.43158,0.019927,0.05936,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,ZNF326,4,0.70379,0.7101,NA,1429,1,0.0058556,0.020112,NA,105,2,0.090038000000000007,0.020112,1,2,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,NSA2,4,0.99388,0.994,NA,2116,0,0.0061249,0.020955,0.061773,106,4,0.63797,0.020955,0.061773,4,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,PRPF19,4,0.56218,0.61182,NA,1198,1,0.0062206,0.021258,0.062021,107,3,0.46056,0.021258,0.062021,3,7 Other
ntc_polysome_bc1_mono_rep1_vs_ntc_polysome_bc1_supernatant_rep1,mono,supernatant,rep1,H4C15,4,0.99364,0.99377,NA,2115,0,0.0063648,0.021756,0.062827,108,4,0.20949,0.021756,0.062827,4,7 Other
