gene,day,gDNA,mRNA
BRF2,day 13,-1.74,-1.93
BRF2,day 21,-1.1,-1.63
BRIX1,day 5,-0.47,0.01
BRIX1,day 13,-2.41,-3.09
BRIX1,day 21,-2.03,-3.37
BST2,day 5,0.67,0.06
BST2,day 13,-0.02,0.68
BST2,day 21,-0.27,1.24
BTF3,day 5,-0.46,-0.56
BTF3,day 13,-1.55,-2.89
BTF3,day 21,-1.67,-4.25
BUD13,day 5,-0.52,-0.08
BUD13,day 13,-0.28,-0.26
BUD13,day 21,-0.41,0.11
BUD23,day 5,-0.87,-0.29
BUD23,day 13,-3.22,-4.49
BUD23,day 21,-2.96,-5.65
BYSL,day 5,0.36,-0.29
BYSL,day 13,-1.09,-3.27
BYSL,day 21,-0.38,-4.4
BZW1,day 5,0.32,0.5
BZW1,day 13,1.2,1.42
BZW1,day 21,1.58,2.11
BZW2,day 5,0.71,0.22
BZW2,day 13,1.31,0.88
BZW2,day 21,2.01,1.68
C11ORF31,day 5,0.56,0.22
C11ORF31,day 13,1.77,1.37
C11ORF31,day 21,1.82,2.23
C11ORF68,day 5,-0.11,0.12
C11ORF68,day 13,1.29,0.8
C11ORF68,day 21,0.63,1.47
C12ORF43,day 5,0.11,0.27
C12ORF43,day 13,0.56,1.19
C12ORF43,day 21,1.1,1.69
C12ORF65,day 5,-0.86,0.1
C12ORF65,day 13,-0.18,0.52
C12ORF65,day 21,-0.84,-0.28
C14ORF142,day 5,0.27,0.33
C14ORF142,day 13,1.32,1.36
C14ORF142,day 21,1.7,1.98
C14ORF166,day 5,-0.3,0.51
C14ORF166,day 13,0.16,1.02
C14ORF166,day 21,1.36,1.95
C14ORF93,day 5,0.47,-0.18
C14ORF93,day 13,0.32,0.24
C14ORF93,day 21,-0.3,-0.31
C15ORF52,day 5,-0.42,-0.62
C15ORF52,day 13,-0.3,-0.8
C15ORF52,day 21,1.25,-1.54
C17ORF85,day 5,0.55,0.64
C17ORF85,day 13,2.11,1.81
C17ORF85,day 21,2.47,2.71
C19ORF47,day 5,0.05,-0.06
C19ORF47,day 13,0.93,0.92
C19ORF47,day 21,1.43,0.94
C19ORF66,day 5,-0.69,-0.22
C19ORF66,day 13,-0.31,0.37
C19ORF66,day 21,0.48,0.67
C1D,day 5,0.02,0.12
C1D,day 13,0.97,-0.65
C1D,day 21,0.9,-2.04
C1ORF131,day 5,0.13,-0.41
C1ORF131,day 13,-0.95,-1.03
C1ORF131,day 21,-1.62,-1.41
C1ORF204,day 5,0.13,0.11
C1ORF204,day 13,0.57,0.77
C1ORF204,day 21,0.8,1.3
C1ORF52,day 5,0.38,-0.05
C1ORF52,day 13,0.06,0.1
C1ORF52,day 21,0.6,0.73
C1QBP,day 5,-0.31,-0.01
C1QBP,day 13,-1.74,0.26
C1QBP,day 21,-0.25,-1.26
C2ORF15,day 5,0.84,0.33
C2ORF15,day 13,1.44,1.23
C2ORF15,day 21,2.16,1.91
C4BPA,day 5,0.17,0.47
C4BPA,day 13,1.6,1.75
C4BPA,day 21,2.36,2.98
C7ORF50,day 5,0.46,0.33
C7ORF50,day 13,2.05,1.68
C7ORF50,day 21,2.61,2.35
C9ORF114,day 5,0.11,-0.08
C9ORF114,day 13,-2.69,-2.44
C9ORF114,day 21,-1.6,-3.34
C9ORF129,day 5,0,0.1
C9ORF129,day 13,0.7,0.64
C9ORF129,day 21,1.2,1.14
C9ORF156,day 5,-0.18,0.15
C9ORF156,day 13,0.76,1.06
C9ORF156,day 21,1.17,1.77
CACTIN,day 5,-0.47,-0.41
CACTIN,day 13,-1.8,-2.55
CACTIN,day 21,-3.22,-2.86
CACYBP,day 5,0.35,0.32
CACYBP,day 13,0.62,1.07
CACYBP,day 21,1.59,1.8
CADM1,day 5,-0.2,-0.28
CADM1,day 13,-0.05,0.59
CADM1,day 21,0.06,0.87
CALD1,day 5,-0.33,-0.1
CALD1,day 13,0.06,0.6
CALD1,day 21,1.06,0.89
CALR,day 5,0.43,0.07
CALR,day 13,1.11,1
CALR,day 21,1.47,1.62
CALR3,day 5,-0.13,-0.18
CALR3,day 13,0.14,0.22
CALR3,day 21,0.52,0.78
CAND1,day 5,-0.48,0.09
CAND1,day 13,-0.54,0.25
CAND1,day 21,-1.53,-0.05
CANX,day 5,-0.41,-0.22
CANX,day 13,0.27,0.15
CANX,day 21,0.04,0.55
CAPRIN1,day 5,0.56,0.11
CAPRIN1,day 13,0.39,0.69
CAPRIN1,day 21,-0.27,0.28
CAPRIN2,day 5,0.19,0.27
CAPRIN2,day 13,1.33,1.29
CAPRIN2,day 21,2.03,2.15
CARHSP1,day 5,-0.09,0.04
CARHSP1,day 13,1.24,1.14
CARHSP1,day 21,2.02,1.89
CARS1,day 5,0.4,-0.38
CARS1,day 13,-2.37,-4.43
CARS1,day 21,-2.34,-4.72
CASC3,day 5,0.08,0.27
CASC3,day 13,0.73,0.64
CASC3,day 21,0.93,0.61
CAST,day 5,-0.41,0.36
CAST,day 13,0.83,1.14
CAST,day 21,1.11,1.26
CAT,day 5,-0.68,0.06
CAT,day 13,0.6,1.28
CAT,day 21,-0.1,2
CAVIN1,day 5,0.06,0.07
CAVIN1,day 13,0.15,0.55
CAVIN1,day 21,0.53,0.89
CC2D1B,day 5,-1.49,0.12
CC2D1B,day 13,-0.94,0.7
CC2D1B,day 21,-0.36,1.32
CCAR1,day 5,0.09,0.31
CCAR1,day 13,-0.36,0.46
CCAR1,day 21,-0.72,-0.38
CCAR2,day 5,0.71,0.17
CCAR2,day 13,0.96,1.11
CCAR2,day 21,1.38,1.86
CCDC124,day 5,0.44,0.13
CCDC124,day 13,0.95,0.73
CCDC124,day 21,1.11,1.15
CCDC137,day 5,0.27,0.16
CCDC137,day 13,-0.39,-0.38
CCDC137,day 21,-0.28,-1.31
CCDC43,day 5,-0.19,0.32
CCDC43,day 13,0.1,0.93
CCDC43,day 21,0.8,0.1
CCDC47,day 5,0.65,0.1
CCDC47,day 13,0.74,1.09
CCDC47,day 21,0.94,1.76
CCDC59,day 5,1.04,0.12
CCDC59,day 13,0.73,-0.08
CCDC59,day 21,0.63,-0.73
CCDC86,day 5,0.08,0.03
CCDC86,day 13,-0.58,-0.28
CCDC86,day 21,-1.14,-0.02
CCDC9,day 5,0.25,-0.2
CCDC9,day 13,-0.21,0.25
CCDC9,day 21,0.44,0.39
CCNT1,day 5,0.42,0.04
CCNT1,day 13,0.73,0.45
CCNT1,day 21,1.33,1.23
CCNT2,day 5,0.18,0.14
CCNT2,day 13,1.18,0.82
CCNT2,day 21,1.71,1.85
CCR4,day 5,-0.05,0.07
CCR4,day 13,0.91,1.34
CCR4,day 21,1.57,2.02
CCT2,day 5,-0.83,-0.58
CCT2,day 13,-2.74,-3.7
CCT2,day 21,-1.36,-3.9
CCT3,day 5,-1.09,-0.57
CCT3,day 13,-2.7,-4.63
CCT3,day 21,-2.42,-5.18
CCT4,day 5,0.17,-0.67
CCT4,day 13,-1.85,-5.22
CCT4,day 21,-2.01,-4.77
CCT6A,day 5,-0.93,-0.89
CCT6A,day 13,-3.98,-5.53
CCT6A,day 21,-3.26,-5.02
CCT7,day 5,-0.17,-1.07
CCT7,day 13,-2.67,-5.67
CCT7,day 21,-1.95,-4.75
CCT8,day 5,-0.27,-0.3
CCT8,day 13,-0.74,-1.27
CCT8,day 21,-1.54,-2.57
CD2BP2,day 5,-0.15,0.23
CD2BP2,day 13,0.96,0.53
CD2BP2,day 21,0.45,0.54
CD44,day 5,-0.01,0.29
CD44,day 13,1.11,1.01
CD44,day 21,1.18,1.29
CDC40,day 5,-0.28,-0.42
CDC40,day 13,-1.27,-1.86
CDC40,day 21,-1.58,-1.47
CDC42EP4,day 5,0.06,0.35
CDC42EP4,day 13,1.22,1.44
CDC42EP4,day 21,1.48,2.22
CDC5L,day 5,-0.56,-0.99
CDC5L,day 13,-1.64,-4.71
CDC5L,day 21,-1.36,-3.72
CDK11B,day 5,-0.65,-0.48
CDK11B,day 13,-1.25,-2.01
CDK11B,day 21,-1.66,-1.57
CDK13,day 5,0.44,0.14
CDK13,day 13,0.71,1.36
CDK13,day 21,0.88,1.65
CDK17,day 5,0.64,0.29
CDK17,day 13,1.3,1.26
CDK17,day 21,2.44,1.61
CDK5RAP1,day 5,0.49,0.38
CDK5RAP1,day 13,1.18,1.21
CDK5RAP1,day 21,1.67,1.82
CDK9,day 5,-1.01,-0.4
CDK9,day 13,-0.7,-4.67
CDK9,day 21,-2.09,-3.69
CDKAL1,day 5,0.08,-0.11
CDKAL1,day 13,1.15,0.59
CDKAL1,day 21,1.76,0.94
CDKN2A,day 5,-0.44,0.42
CDKN2A,day 13,0.98,1.35
CDKN2A,day 21,1.28,2.23
CDV3,day 5,0.18,-0.08
CDV3,day 13,0.6,0.37
CDV3,day 21,0.58,0.67
CEBPZ,day 5,-1.02,-0.07
CEBPZ,day 13,-3.31,-4.53
CEBPZ,day 21,-2.6,-5.33
CELF1,day 5,-0.42,0.32
CELF1,day 13,0.13,0.8
CELF1,day 21,0.57,1.17
CELF2,day 5,0.9,-0.21
CELF2,day 13,0.75,0.35
CELF2,day 21,-1.07,0.31
CELF3,day 5,-0.12,0.48
CELF3,day 13,0.94,1.06
CELF3,day 21,1.63,2.06
CELF4,day 5,-0.81,-0.41
CELF4,day 13,0.05,0.2
CELF4,day 21,0.4,0.72
CELF5,day 5,0.51,0.05
CELF5,day 13,1.05,0.81
CELF5,day 21,1.41,1.34
CELF6,day 5,-0.28,0.58
CELF6,day 13,0.09,1.27
CELF6,day 21,-0.4,1.35
CEP43,day 5,-0.96,-0.24
CEP43,day 13,-0.05,1
CEP43,day 21,1.04,1.53
CFAP20,day 5,-0.49,-0.04
CFAP20,day 13,-0.88,-1.46
CFAP20,day 21,-1.91,-1.95
CFAP65,day 5,0.42,0.63
CFAP65,day 13,1.58,1.76
CFAP65,day 21,2.27,2.61
CFL1,day 5,0.86,0.61
CFL1,day 13,0.12,0.22
CFL1,day 21,-1.67,-1.1
CGN,day 5,-0.34,0.4
CGN,day 13,0.42,1.04
CGN,day 21,-0.11,1.77
CHCHD1,day 5,0.15,-0.03
CHCHD1,day 13,-1.77,-1.94
CHCHD1,day 21,-1.69,-3.92
CHCHD3,day 5,0.48,0.01
CHCHD3,day 13,0.28,0.28
CHCHD3,day 21,0.47,0.54
CHD2,day 5,0.33,0.13
CHD2,day 13,1.67,1.2
CHD2,day 21,2.49,1.3
CHD3,day 5,0.18,0.12
CHD3,day 13,0.69,1.39
CHD3,day 21,1.82,2.14
CHERP,day 5,-0.91,-0.16
CHERP,day 13,-1.13,-1.52
CHERP,day 21,-1.29,-1.64
CHGA,day 5,0.61,0.33
CHGA,day 13,1.28,1.08
CHGA,day 21,1.93,1.62
CHMP2A,day 5,-0.22,-0.21
CHMP2A,day 13,-0.56,-0.61
CHMP2A,day 21,0.07,-2.23
CHMP4B,day 5,0.48,0.34
CHMP4B,day 13,-1.19,-0.21
CHMP4B,day 21,0.3,0.01
CHTOP,day 5,0.33,0.13
CHTOP,day 13,0.42,0.92
CHTOP,day 21,0.87,1.46
CIAO1,day 5,-0.18,-0.01
CIAO1,day 13,-1.73,-1.72
CIAO1,day 21,-1.68,-3.99
CILK1,day 5,0.49,0.19
CILK1,day 13,0.87,0.96
CILK1,day 21,1.66,1.42
CIRBP,day 5,-0.61,-0.27
CIRBP,day 13,-1.62,-0.01
CIRBP,day 21,0.04,-0.23
CISD1,day 5,0.28,0.06
CISD1,day 13,1,1.02
CISD1,day 21,0.67,1.57
CISD2,day 5,-0.79,0.26
CISD2,day 13,1.29,1.74
CISD2,day 21,2.84,2.64
CKAP4,day 5,0.56,0.45
CKAP4,day 13,0.84,1.16
CKAP4,day 21,0.74,1.47
CLASP2,day 5,-0.1,0.03
CLASP2,day 13,0.63,0.86
CLASP2,day 21,0.01,1.32
CLASRP,day 5,0.5,0.2
CLASRP,day 13,0.05,-0.47
CLASRP,day 21,-0.26,-0.6
CLK1,day 5,0.35,0.33
CLK1,day 13,1.42,1.44
CLK1,day 21,1.98,2.25
CLK2,day 5,-0.29,-0.27
CLK2,day 13,0.51,-0.04
CLK2,day 21,0.22,0.29
CLK3,day 5,-0.88,-0.15
CLK3,day 13,0.13,0.01
CLK3,day 21,0.72,-0.59
CLK4,day 5,0.5,0.22
CLK4,day 13,1.03,1.31
CLK4,day 21,1.74,2.06
CLNS1A,day 5,0.5,0.11
CLNS1A,day 13,-1.28,-0.67
CLNS1A,day 21,-1.13,-2.29
CLP1,day 5,-0.13,-0.83
CLP1,day 13,-2.32,-5.06
CLP1,day 21,-1.61,-4.07
CLTC,day 5,-0.43,0.06
CLTC,day 13,-1.08,-0.43
CLTC,day 21,-1.27,-2.37
CMSS1,day 5,0.52,0.23
CMSS1,day 13,1.27,0.56
CMSS1,day 21,1.51,1.04
CMTR1,day 5,-0.42,0.3
CMTR1,day 13,-0.12,-0.16
CMTR1,day 21,-2.07,-2.38
CMTR2,day 5,-0.07,0.17
CMTR2,day 13,1.57,0.79
CMTR2,day 21,2.22,1.14
CNBP,day 5,-0.38,-0.15
CNBP,day 13,0.42,0.05
CNBP,day 21,-0.27,0.79
CNDP2,day 5,0.77,0.53
CNDP2,day 13,1.38,2.08
CNDP2,day 21,1.98,2.98
CNN1,day 5,0.85,0.18
CNN1,day 13,0.56,0.62
CNN1,day 21,1.67,1.11
