gene_name,lfc_ctrl,lfc,compare
INO80,1.267,1.746,"GCN1 sgRNA 1,2"
ZNF776,1.499,1.736,"GCN1 sgRNA 1,2"
ATXN7L1,1.396,1.73,"GCN1 sgRNA 1,2"
BRF2,2.035,1.729,"GCN1 sgRNA 1,2"
ZNF502,2.042,1.724,"GCN1 sgRNA 1,2"
PNRC1,1.479,1.724,"GCN1 sgRNA 1,2"
RSRC2,1.324,1.715,"GCN1 sgRNA 1,2"
GABARAPL1,1.051,1.712,"GCN1 sgRNA 1,2"
CELSR3,1.334,1.71,"GCN1 sgRNA 1,2"
ZNF543,1.466,1.71,"GCN1 sgRNA 1,2"
HEY1,1.731,1.708,"GCN1 sgRNA 1,2"
SLC25A25,1.143,1.701,"GCN1 sgRNA 1,2"
DDIT3,0.08,1.696,"GCN1 sgRNA 1,2"
ZNF211,1.832,1.693,"GCN1 sgRNA 1,2"
ARID5A,0.537,1.684,"GCN1 sgRNA 1,2"
ZNF57,1.808,1.682,"GCN1 sgRNA 1,2"
TUFT1,1.452,1.681,"GCN1 sgRNA 1,2"
PHF21B,2.186,1.68,"GCN1 sgRNA 1,2"
IQCC,1.883,1.679,"GCN1 sgRNA 1,2"
ZNF329,1.947,1.678,"GCN1 sgRNA 1,2"
MED18,1.308,1.672,"GCN1 sgRNA 1,2"
FOXO3,1.088,1.67,"GCN1 sgRNA 1,2"
CREBRF,1.084,1.661,"GCN1 sgRNA 1,2"
H4C2,0.648,1.652,"GCN1 sgRNA 1,2"
ZNF222,1.922,1.645,"GCN1 sgRNA 1,2"
ARRDC4,1.263,1.644,"GCN1 sgRNA 1,2"
PPRC1,1.234,1.643,"GCN1 sgRNA 1,2"
ID1,1.655,1.638,"GCN1 sgRNA 1,2"
HROB,1.56,1.631,"GCN1 sgRNA 1,2"
H4C8,0.617,1.629,"GCN1 sgRNA 1,2"
PLK2,1.037,1.626,"GCN1 sgRNA 1,2"
ZNF134,1.492,1.617,"GCN1 sgRNA 1,2"
FBXW8,1.509,1.616,"GCN1 sgRNA 1,2"
ZNF34,1.263,1.615,"GCN1 sgRNA 1,2"
TOE1,1.508,1.612,"GCN1 sgRNA 1,2"
ZNF160,1.234,1.598,"GCN1 sgRNA 1,2"
KLF15,1.485,1.583,"GCN1 sgRNA 1,2"
SAMD4A,0.501,1.581,"GCN1 sgRNA 1,2"
ZNF550,1.796,1.58,"GCN1 sgRNA 1,2"
CEP295,1.529,1.575,"GCN1 sgRNA 1,2"
ZNF620,1.424,1.546,"GCN1 sgRNA 1,2"
THAP9,1.624,1.544,"GCN1 sgRNA 1,2"
CHD2,0.992,1.542,"GCN1 sgRNA 1,2"
GLA,-0.266,1.536,"GCN1 sgRNA 1,2"
DTL,1.57,1.534,"GCN1 sgRNA 1,2"
KDM6B,0.998,1.531,"GCN1 sgRNA 1,2"
ID4,0.972,1.527,"GCN1 sgRNA 1,2"
E2F2,1.699,1.524,"GCN1 sgRNA 1,2"
BNIP1,0.983,1.523,"GCN1 sgRNA 1,2"
ZNF585A,1.912,1.522,"GCN1 sgRNA 1,2"
ZNHIT2,1.71,1.519,"GCN1 sgRNA 1,2"
AEN,1.235,1.518,"GCN1 sgRNA 1,2"
CLASRP,1.091,1.518,"GCN1 sgRNA 1,2"
H2BC12,0.414,1.511,"GCN1 sgRNA 1,2"
HOXB2,1.5,1.511,"GCN1 sgRNA 1,2"
CCNL1,1.014,1.509,"GCN1 sgRNA 1,2"
JUNB,0.087,1.506,"GCN1 sgRNA 1,2"
RRP8,1.067,1.505,"GCN1 sgRNA 1,2"
AP3B2,1.221,1.504,"GCN1 sgRNA 1,2"
SULT4A1,1.94,1.502,"GCN1 sgRNA 1,2"
ZNF791,1.586,1.501,"GCN1 sgRNA 1,2"
ZSCAN22,1.165,1.501,"GCN1 sgRNA 1,2"
RIPK4,1.112,1.501,"GCN1 sgRNA 1,2"
TBC1D9,0.129,1.499,"GCN1 sgRNA 1,2"
PDRG1,1.028,1.499,"GCN1 sgRNA 1,2"
RAB30,1.526,1.497,"GCN1 sgRNA 1,2"
SAT1,-0.401,1.492,"GCN1 sgRNA 1,2"
YJU2B,1.489,1.486,"GCN1 sgRNA 1,2"
SMG9,1.217,1.482,"GCN1 sgRNA 1,2"
TCEANC,1.199,1.479,"GCN1 sgRNA 1,2"
YY1AP1,1.102,1.477,"GCN1 sgRNA 1,2"
SPRY2,1.665,1.476,"GCN1 sgRNA 1,2"
H3C10,0.449,1.475,"GCN1 sgRNA 1,2"
ZSWIM6,1.195,1.473,"GCN1 sgRNA 1,2"
ZNF689,1.261,1.473,"GCN1 sgRNA 1,2"
ZNF608,1.744,1.467,"GCN1 sgRNA 1,2"
NOCT,0.708,1.464,"GCN1 sgRNA 1,2"
ZNF649,1.162,1.464,"GCN1 sgRNA 1,2"
COX19,0.918,1.46,"GCN1 sgRNA 1,2"
ZNF335,0.312,1.459,"GCN1 sgRNA 1,2"
ZNF8,1.613,1.459,"GCN1 sgRNA 1,2"
ZNF200,1.085,1.456,"GCN1 sgRNA 1,2"
SNAPC4,0.954,1.455,"GCN1 sgRNA 1,2"
ZNF430,1.243,1.45,"GCN1 sgRNA 1,2"
ZNF503,1.1,1.447,"GCN1 sgRNA 1,2"
CCNT1,1.177,1.442,"GCN1 sgRNA 1,2"
TSPYL2,1.182,1.438,"GCN1 sgRNA 1,2"
H2BC7,0.773,1.434,"GCN1 sgRNA 1,2"
GPATCH2,1.113,1.428,"GCN1 sgRNA 1,2"
ADM,0.991,1.427,"GCN1 sgRNA 1,2"
H4C3,0.81,1.425,"GCN1 sgRNA 1,2"
ZNF350,1.477,1.424,"GCN1 sgRNA 1,2"
ADPRS,0.883,1.423,"GCN1 sgRNA 1,2"
RNF25,1.05,1.422,"GCN1 sgRNA 1,2"
MAK,1.719,1.422,"GCN1 sgRNA 1,2"
MAFB,0.705,1.42,"GCN1 sgRNA 1,2"
H2BC15,0.532,1.418,"GCN1 sgRNA 1,2"
ZNF274,1.54,1.417,"GCN1 sgRNA 1,2"
DDX11,1.18,1.413,"GCN1 sgRNA 1,2"
RFX1,0.432,1.413,"GCN1 sgRNA 1,2"
BTG2,0.052,1.412,"GCN1 sgRNA 1,2"
ZRSR2,1.02,1.411,"GCN1 sgRNA 1,2"
TMEM86A,1.36,1.408,"GCN1 sgRNA 1,2"
PRR22,1.179,1.404,"GCN1 sgRNA 1,2"
TYW5,1.658,1.403,"GCN1 sgRNA 1,2"
HELQ,1.23,1.395,"GCN1 sgRNA 1,2"
RAPGEFL1,0.427,1.394,"GCN1 sgRNA 1,2"
DUS3L,0.553,1.393,"GCN1 sgRNA 1,2"
STOML1,0.756,1.392,"GCN1 sgRNA 1,2"
UNK,0.66,1.389,"GCN1 sgRNA 1,2"
ZNF155,1.429,1.388,"GCN1 sgRNA 1,2"
E2F8,1.488,1.386,"GCN1 sgRNA 1,2"
GORAB,1.596,1.384,"GCN1 sgRNA 1,2"
BRD2,1.011,1.384,"GCN1 sgRNA 1,2"
ZNF530,1.512,1.376,"GCN1 sgRNA 1,2"
ZNF654,1.803,1.374,"GCN1 sgRNA 1,2"
SLC13A3,0.633,1.374,"GCN1 sgRNA 1,2"
NFKBIL1,0.878,1.372,"GCN1 sgRNA 1,2"
KICS2,1.57,1.371,"GCN1 sgRNA 1,2"
ST7L,1.653,1.368,"GCN1 sgRNA 1,2"
ING3,1.203,1.365,"GCN1 sgRNA 1,2"
CDT1,1.367,1.364,"GCN1 sgRNA 1,2"
ZNF622,0.998,1.359,"GCN1 sgRNA 1,2"
ARRDC3,2.247,1.355,"GCN1 sgRNA 1,2"
PINX1,0.555,1.354,"GCN1 sgRNA 1,2"
AKIRIN2,0.67,1.351,"GCN1 sgRNA 1,2"
SPATA2L,1.073,1.351,"GCN1 sgRNA 1,2"
TOP3A,1.127,1.35,"GCN1 sgRNA 1,2"
ATXN7,1.077,1.346,"GCN1 sgRNA 1,2"
ZSCAN12,1.431,1.344,"GCN1 sgRNA 1,2"
H4C5,0.578,1.343,"GCN1 sgRNA 1,2"
KCNK5,1.129,1.34,"GCN1 sgRNA 1,2"
GMEB2,0.568,1.337,"GCN1 sgRNA 1,2"
CCDC9,1.113,1.335,"GCN1 sgRNA 1,2"
PSMC3IP,0.955,1.334,"GCN1 sgRNA 1,2"
DLX2,1.343,1.333,"GCN1 sgRNA 1,2"
TIMP3,-0.752,1.333,"GCN1 sgRNA 1,2"
C9orf85,0.896,1.332,"GCN1 sgRNA 1,2"
RPP38,0.777,1.332,"GCN1 sgRNA 1,2"
COLQ,0.302,1.329,"GCN1 sgRNA 1,2"
H2AC13,0.282,1.329,"GCN1 sgRNA 1,2"
VCPKMT,1.246,1.329,"GCN1 sgRNA 1,2"
FAM120B,0.962,1.326,"GCN1 sgRNA 1,2"
DCP1B,1.193,1.325,"GCN1 sgRNA 1,2"
ZNF619,1.96,1.32,"GCN1 sgRNA 1,2"
H3C2,0.148,1.319,"GCN1 sgRNA 1,2"
EDRF1,1.284,1.318,"GCN1 sgRNA 1,2"
E2F1,1.098,1.318,"GCN1 sgRNA 1,2"
ALKBH1,1.382,1.314,"GCN1 sgRNA 1,2"
ZNF44,1.572,1.313,"GCN1 sgRNA 1,2"
UBALD2,0.301,1.312,"GCN1 sgRNA 1,2"
ZNF92,1.83,1.306,"GCN1 sgRNA 1,2"
BCDIN3D,1.095,1.305,"GCN1 sgRNA 1,2"
EPC2,0.691,1.301,"GCN1 sgRNA 1,2"
ZNF267,1.041,1.297,"GCN1 sgRNA 1,2"
H2AC20,-0.275,1.296,"GCN1 sgRNA 1,2"
NSRP1,0.507,1.294,"GCN1 sgRNA 1,2"
TRMT44,1.209,1.293,"GCN1 sgRNA 1,2"
ZNF264,0.893,1.291,"GCN1 sgRNA 1,2"
N6AMT1,0.881,1.291,"GCN1 sgRNA 1,2"
STX1A,1.708,1.288,"GCN1 sgRNA 1,2"
ZSWIM3,1.303,1.288,"GCN1 sgRNA 1,2"
DAGLB,1.288,1.287,"GCN1 sgRNA 1,2"
CASP9,0.359,1.285,"GCN1 sgRNA 1,2"
HJURP,0.869,1.285,"GCN1 sgRNA 1,2"
ZNF296,1.713,1.285,"GCN1 sgRNA 1,2"
ZNF121,0.651,1.284,"GCN1 sgRNA 1,2"
FAM53C,0.521,1.282,"GCN1 sgRNA 1,2"
HMGCL,1.062,1.281,"GCN1 sgRNA 1,2"
TRIM35,1.237,1.281,"GCN1 sgRNA 1,2"
ZNF875,1.321,1.28,"GCN1 sgRNA 1,2"
POLM,1.722,1.279,"GCN1 sgRNA 1,2"
SHC2,0.802,1.279,"GCN1 sgRNA 1,2"
GAD1,1.163,1.275,"GCN1 sgRNA 1,2"
H2BC17,-0.105,1.274,"GCN1 sgRNA 1,2"
ARNTL,1.984,1.271,"GCN1 sgRNA 1,2"
SPATA5L1,1.463,1.269,"GCN1 sgRNA 1,2"
REL,0.804,1.265,"GCN1 sgRNA 1,2"
ACACB,1.287,1.264,"GCN1 sgRNA 1,2"
DDX31,1.103,1.263,"GCN1 sgRNA 1,2"
WASHC1,1.201,1.262,"GCN1 sgRNA 1,2"
RNF111,0.771,1.261,"GCN1 sgRNA 1,2"
RBL1,1.573,1.261,"GCN1 sgRNA 1,2"
RAB33B,1.85,1.259,"GCN1 sgRNA 1,2"
SLC3A2,0.987,1.258,"GCN1 sgRNA 1,2"
ZNF628,1.088,1.258,"GCN1 sgRNA 1,2"
ZNF227,1.298,1.257,"GCN1 sgRNA 1,2"
RLF,0.82,1.256,"GCN1 sgRNA 1,2"
NSUN4,1.124,1.256,"GCN1 sgRNA 1,2"
KDM5B,0.791,1.254,"GCN1 sgRNA 1,2"
CASP10,1.025,1.254,"GCN1 sgRNA 1,2"
NTMT1,0.639,1.254,"GCN1 sgRNA 1,2"
ZNF557,1.241,1.253,"GCN1 sgRNA 1,2"
UBOX5,0.834,1.251,"GCN1 sgRNA 1,2"
MTF1,0.697,1.25,"GCN1 sgRNA 1,2"
LENG1,0.877,1.249,"GCN1 sgRNA 1,2"
ZBTB49,0.963,1.248,"GCN1 sgRNA 1,2"
ARMC5,0.885,1.245,"GCN1 sgRNA 1,2"
KDM6A,1.302,1.243,"GCN1 sgRNA 1,2"
SKIL,1.92,1.242,"GCN1 sgRNA 1,2"
ZNF574,0.736,1.242,"GCN1 sgRNA 1,2"
ZNF549,1.693,1.24,"GCN1 sgRNA 1,2"
ZBTB48,1.039,1.239,"GCN1 sgRNA 1,2"
NR1H3,1.07,1.239,"GCN1 sgRNA 1,2"
ZNF627,1.723,1.239,"GCN1 sgRNA 1,2"
ZNF184,1.292,1.238,"GCN1 sgRNA 1,2"
CWC25,0.838,1.238,"GCN1 sgRNA 1,2"
DYRK1B,1.115,1.237,"GCN1 sgRNA 1,2"
H2BC18,0.384,1.234,"GCN1 sgRNA 1,2"
LRRC37B,1.562,1.234,"GCN1 sgRNA 1,2"
C10orf88,1.35,1.232,"GCN1 sgRNA 1,2"
CEP76,0.555,1.232,"GCN1 sgRNA 1,2"
ZNF3,1.384,1.231,"GCN1 sgRNA 1,2"
CCNT2,0.88,1.23,"GCN1 sgRNA 1,2"
HOXA3,1.654,1.23,"GCN1 sgRNA 1,2"
PPM1D,1.306,1.228,"GCN1 sgRNA 1,2"
ZNF783,1.324,1.227,"GCN1 sgRNA 1,2"
NAPB,1.802,1.225,"GCN1 sgRNA 1,2"
ZBTB21,0.891,1.225,"GCN1 sgRNA 1,2"
RPRD1B,0.82,1.224,"GCN1 sgRNA 1,2"
SDE2,0.92,1.223,"GCN1 sgRNA 1,2"
MYC,-1.044,1.222,"GCN1 sgRNA 1,2"
RBM5,0.723,1.22,"GCN1 sgRNA 1,2"
CCDC137,0.89,1.219,"GCN1 sgRNA 1,2"
ATXN7L2,0.873,1.217,"GCN1 sgRNA 1,2"
ATAD5,0.887,1.217,"GCN1 sgRNA 1,2"
PDCD7,1.3,1.211,"GCN1 sgRNA 1,2"
OLIG2,0.163,1.21,"GCN1 sgRNA 1,2"
TRIT1,1.398,1.209,"GCN1 sgRNA 1,2"
ADAMTS17,1.119,1.209,"GCN1 sgRNA 1,2"
TICRR,0.802,1.209,"GCN1 sgRNA 1,2"
ZNF319,1.41,1.209,"GCN1 sgRNA 1,2"
C12orf57,-0.174,1.208,"GCN1 sgRNA 1,2"
WDR62,1.243,1.208,"GCN1 sgRNA 1,2"
RBM15,0.166,1.206,"GCN1 sgRNA 1,2"
BSN,1.116,1.206,"GCN1 sgRNA 1,2"
ZNF234,1.404,1.205,"GCN1 sgRNA 1,2"
PRKRIP1,0.913,1.204,"GCN1 sgRNA 1,2"
PHC3,0.892,1.203,"GCN1 sgRNA 1,2"
SYNJ1,1.18,1.203,"GCN1 sgRNA 1,2"
CNOT4,1.036,1.201,"GCN1 sgRNA 1,2"
ZNF592,1.047,1.201,"GCN1 sgRNA 1,2"
RRP12,0.528,1.199,"GCN1 sgRNA 1,2"
PPP1R13B,0.824,1.198,"GCN1 sgRNA 1,2"
PPP1R10,0.286,1.196,"GCN1 sgRNA 1,2"
C5orf34,1.288,1.195,"GCN1 sgRNA 1,2"
ZNF2,1.102,1.192,"GCN1 sgRNA 1,2"
KIAA0753,1.375,1.192,"GCN1 sgRNA 1,2"
GPATCH1,1.223,1.192,"GCN1 sgRNA 1,2"
MCM5,0.634,1.192,"GCN1 sgRNA 1,2"
SCYL3,1.061,1.191,"GCN1 sgRNA 1,2"
CENPQ,1.219,1.191,"GCN1 sgRNA 1,2"
E2F3,0.587,1.19,"GCN1 sgRNA 1,2"
C2CD3,0.811,1.19,"GCN1 sgRNA 1,2"
OSER1,0.717,1.19,"GCN1 sgRNA 1,2"
TUT1,1.036,1.189,"GCN1 sgRNA 1,2"
HIVEP2,0.947,1.186,"GCN1 sgRNA 1,2"
ZNF268,1.314,1.186,"GCN1 sgRNA 1,2"
CCDC157,1.319,1.184,"GCN1 sgRNA 1,2"
RP9,1.139,1.18,"GCN1 sgRNA 1,2"
TAF1A,1.042,1.177,"GCN1 sgRNA 1,2"
TXNL4B,1.201,1.176,"GCN1 sgRNA 1,2"
UHRF2,1.279,1.175,"GCN1 sgRNA 1,2"
SP2,0.451,1.175,"GCN1 sgRNA 1,2"
ZNF707,0.888,1.171,"GCN1 sgRNA 1,2"
WDR5B,1.29,1.169,"GCN1 sgRNA 1,2"
GAS8,1.31,1.166,"GCN1 sgRNA 1,2"
BYSL,0.689,1.164,"GCN1 sgRNA 1,2"
FAM133B,0.766,1.161,"GCN1 sgRNA 1,2"
TAPT1,0.955,1.158,"GCN1 sgRNA 1,2"
GATA2,1.071,1.157,"GCN1 sgRNA 1,2"
ZNF337,0.679,1.154,"GCN1 sgRNA 1,2"
ZNF513,0.415,1.153,"GCN1 sgRNA 1,2"
TOPORS,0.748,1.152,"GCN1 sgRNA 1,2"
CPEB4,0.681,1.151,"GCN1 sgRNA 1,2"
PTPN21,1.152,1.15,"GCN1 sgRNA 1,2"
PANK2,0.911,1.147,"GCN1 sgRNA 1,2"
LTO1,1.193,1.145,"GCN1 sgRNA 1,2"
ARL14EP,1.011,1.144,"GCN1 sgRNA 1,2"
PRKAB1,1.073,1.143,"GCN1 sgRNA 1,2"
BARD1,1.536,1.14,"GCN1 sgRNA 1,2"
H2AC12,0.077,1.14,"GCN1 sgRNA 1,2"
DDB2,1.597,1.14,"GCN1 sgRNA 1,2"
PMM2,0.602,1.14,"GCN1 sgRNA 1,2"
UTP25,0.677,1.139,"GCN1 sgRNA 1,2"
PPCDC,0.939,1.139,"GCN1 sgRNA 1,2"
SETD4,1.293,1.138,"GCN1 sgRNA 1,2"
PTBP2,1.445,1.133,"GCN1 sgRNA 1,2"
OSCP1,1.181,1.129,"GCN1 sgRNA 1,2"
VIPR1,1.949,1.129,"GCN1 sgRNA 1,2"
H1-10,0.587,1.127,"GCN1 sgRNA 1,2"
KCNJ14,0.232,1.127,"GCN1 sgRNA 1,2"
ANKMY1,1.044,1.124,"GCN1 sgRNA 1,2"
ZFP36L1,0.338,1.124,"GCN1 sgRNA 1,2"
RNF122,0.194,1.12,"GCN1 sgRNA 1,2"
ARID4B,0.875,1.118,"GCN1 sgRNA 1,2"
EXT1,0.152,1.117,"GCN1 sgRNA 1,2"
AKAP8,0.736,1.117,"GCN1 sgRNA 1,2"
MAD2L1BP,0.557,1.116,"GCN1 sgRNA 1,2"
FNBP4,0.942,1.116,"GCN1 sgRNA 1,2"
ZNF687,0.818,1.114,"GCN1 sgRNA 1,2"
H1-4,0.177,1.113,"GCN1 sgRNA 1,2"
MYH3,1.713,1.113,"GCN1 sgRNA 1,2"
H2BC4,0.25,1.112,"GCN1 sgRNA 1,2"
BUD13,0.678,1.112,"GCN1 sgRNA 1,2"
LIN7B,1.725,1.112,"GCN1 sgRNA 1,2"
IKBKG,0.347,1.109,"GCN1 sgRNA 1,2"
NFX1,0.909,1.109,"GCN1 sgRNA 1,2"
CDCA5,0.677,1.109,"GCN1 sgRNA 1,2"
GZF1,0.697,1.107,"GCN1 sgRNA 1,2"
ARFGAP2,0.695,1.106,"GCN1 sgRNA 1,2"
SRFBP1,0.987,1.105,"GCN1 sgRNA 1,2"
EFNB2,0.277,1.104,"GCN1 sgRNA 1,2"
SLC35D1,1.156,1.102,"GCN1 sgRNA 1,2"
KANSL2,1.266,1.097,"GCN1 sgRNA 1,2"
KLF5,0.47,1.097,"GCN1 sgRNA 1,2"
SUGP1,1.068,1.097,"GCN1 sgRNA 1,2"
PROX1,1.414,1.096,"GCN1 sgRNA 1,2"
CBLL1,1.288,1.096,"GCN1 sgRNA 1,2"
ZNF304,1.175,1.096,"GCN1 sgRNA 1,2"
ZBTB2,1.367,1.094,"GCN1 sgRNA 1,2"
TUT7,0.954,1.094,"GCN1 sgRNA 1,2"
BRAP,0.924,1.093,"GCN1 sgRNA 1,2"
MYO3A,1.001,1.092,"GCN1 sgRNA 1,2"
CLK4,1.344,1.091,"GCN1 sgRNA 1,2"
TAF4B,0.807,1.09,"GCN1 sgRNA 1,2"
EPG5,0.796,1.09,"GCN1 sgRNA 1,2"
BSDC1,0.124,1.087,"GCN1 sgRNA 1,2"
ATF7IP,0.825,1.087,"GCN1 sgRNA 1,2"
LINS1,0.727,1.086,"GCN1 sgRNA 1,2"
TRIM11,0.927,1.085,"GCN1 sgRNA 1,2"
POLQ,0.621,1.085,"GCN1 sgRNA 1,2"
ZSCAN21,1.503,1.085,"GCN1 sgRNA 1,2"
SIK3,0.722,1.084,"GCN1 sgRNA 1,2"
ZNF140,1,1.084,"GCN1 sgRNA 1,2"
NUFIP1,1.033,1.084,"GCN1 sgRNA 1,2"
THADA,0.808,1.083,"GCN1 sgRNA 1,2"
ZXDC,1,1.083,"GCN1 sgRNA 1,2"
SETDB1,1.054,1.082,"GCN1 sgRNA 1,2"
ZNF197,0.899,1.082,"GCN1 sgRNA 1,2"
ATRIP,0.936,1.081,"GCN1 sgRNA 1,2"
CIC,0.2,1.081,"GCN1 sgRNA 1,2"
ZNF711,0.375,1.078,"GCN1 sgRNA 1,2"
ZFAT,1.148,1.078,"GCN1 sgRNA 1,2"
BRD1,0.622,1.078,"GCN1 sgRNA 1,2"
ERN1,0.125,1.077,"GCN1 sgRNA 1,2"
RUNX1T1,2.189,1.076,"GCN1 sgRNA 1,2"
ZNF419,0.962,1.076,"GCN1 sgRNA 1,2"
TRPC1,1.414,1.073,"GCN1 sgRNA 1,2"
NOM1,0.582,1.07,"GCN1 sgRNA 1,2"
ETV3,0.84,1.069,"GCN1 sgRNA 1,2"
IFRD1,0.859,1.069,"GCN1 sgRNA 1,2"
TUBGCP5,0.857,1.069,"GCN1 sgRNA 1,2"
BRPF3,0.432,1.068,"GCN1 sgRNA 1,2"
PUM3,0.459,1.068,"GCN1 sgRNA 1,2"
OBI1,1.132,1.068,"GCN1 sgRNA 1,2"
PIM3,0.448,1.066,"GCN1 sgRNA 1,2"
POC5,1.059,1.065,"GCN1 sgRNA 1,2"
CDKN1A,-0.045,1.065,"GCN1 sgRNA 1,2"
ZNF845,1.125,1.065,"GCN1 sgRNA 1,2"
PPP1R12B,1.027,1.064,"GCN1 sgRNA 1,2"
CLK1,0.95,1.063,"GCN1 sgRNA 1,2"
ZFYVE27,0.159,1.063,"GCN1 sgRNA 1,2"
ZNF75A,1.112,1.058,"GCN1 sgRNA 1,2"
ZNF217,1.041,1.057,"GCN1 sgRNA 1,2"
METTL14,1.196,1.056,"GCN1 sgRNA 1,2"
